X	Y
299	419
329	136
499	182
650	501
538	452
274	181
446	456
722	442
639	381
681	246
780	261
735	278
534	441
151	296
177	368
489	191
420	391
420	241
232	419
571	474
247	261
776	210
330	180
328	305
738	285
457	503
450	447
678	522
551	281
626	272
240	382
570	494
483	222
600	209
299	294
609	526
645	539
258	491
492	227
677	228
337	155
622	529
544	241
515	278
439	312
296	415
327	140
469	483
482	154
203	465
743	488
483	489
556	309
695	448
335	179
560	425
427	155
446	483
796	222
593	294
770	273
280	216
774	241
521	429
717	473
521	428
843	258
611	191
554	253
760	433
174	116
514	445
466	185
653	555
366	317
752	411
668	234
543	503
801	358
481	399
633	295
466	159
408	330
618	220
209	302
244	156
568	522
586	211
406	213
475	182
519	216
635	305
799	257
354	493
381	504
456	405
577	415
784	196
542	265
516	380
