X	Y
211	252
441	477
512	222
187	249
549	263
816	251
250	278
801	430
655	406
641	210
570	246
635	394
564	386
433	191
513	223
646	494
544	467
712	405
443	179
711	257
490	162
400	148
676	214
716	355
300	146
588	324
504	450
330	437
729	229
390	384
269	402
575	410
783	286
648	273
256	277
700	399
483	418
599	404
159	298
611	474
357	472
46	329
538	336
709	229
226	427
668	525
780	435
456	460
339	284
479	244
468	173
700	246
488	165
370	313
220	470
710	495
467	304
399	252
475	425
621	293
734	428
716	367
690	232
200	194
245	441
598	401
640	306
252	401
512	453
757	341
339	276
652	217
709	408
168	367
714	250
533	301
452	440
559	336
603	464
812	289
511	225
459	163
446	330
774	272
553	285
705	517
811	245
508	231
533	313
580	510
663	352
783	273
815	344
761	462
690	389
325	271
632	414
270	448
685	450
539	237
650	313
604	307
768	450
264	288
577	245
734	411
729	249
588	402
690	256
220	369
350	299
810	360
649	277
688	267
575	239
653	409
548	283
591	211
472	156
329	156
353	299
613	299
518	374
511	395
634	249
833	277
614	216
548	471
760	440
326	353
732	482
608	385
517	293
778	301
711	386
726	242
377	341
341	323
340	257
797	219
620	284
710	353
396	218
183	363
329	437
268	453
351	496
357	460
836	265
572	396
681	441
531	392
359	251
233	324
560	273
792	403
510	253
722	447
369	160
511	207
563	537
428	392
426	427
590	256
767	299
236	156
697	435
781	236
590	519
746	276
625	356
469	390
302	200
591	351
343	278
789	266
608	459
671	524
571	242
691	240
809	324
467	480
719	232
731	232
633	278
812	427
785	307
830	284
449	197
480	332
564	507
595	320
466	173
328	222
269	234
341	451
200	190
613	256
413	450
378	291
