X	Y
243	287
257	455
384	460
194	109
255	354
232	487
81	202
566	323
151	84
569	195
117	342
91	147
85	81
609	226
388	368
243	168
261	421
133	313
584	285
165	86
128	391
309	246
73	424
683	346
632	451
714	459
84	334
319	304
484	432
499	325
97	355
114	49
39	268
32	311
106	382
592	381
136	347
782	363
466	476
355	410
273	423
240	173
64	85
574	213
117	295
349	388
199	285
238	235
175	192
97	226
66	389
265	437
650	486
374	239
163	263
240	301
262	324
146	313
119	232
456	512
126	380
735	362
116	404
541	198
32	147
55	285
486	165
305	479
262	503
236	299
460	277
176	271
391	149
439	193
159	447
344	510
145	133
153	206
83	124
441	208
237	422
377	408
47	277
245	295
209	452
176	105
57	434
123	414
193	319
61	91
352	420
126	202
551	303
299	337
178	80
811	377
379	229
44	116
94	440
181	168
604	247
436	501
107	148
124	317
66	400
334	511
130	400
624	549
269	483
544	326
143	130
232	457
199	225
101	152
103	374
67	178
399	168
784	445
43	114
591	367
69	16
496	180
126	396
579	301
38	270
558	361
751	358
263	331
395	458
91	117
88	136
285	281
232	178
749	508
353	427
92	315
277	122
600	280
718	293
73	162
381	397
433	372
729	351
273	118
610	415
210	229
660	400
54	405
342	312
30	424
46	258
191	159
728	374
205	449
160	406
252	278
46	416
68	333
133	117
162	224
168	471
139	90
48	292
671	419
194	125
467	268
298	357
249	186
416	282
112	313
613	233
418	498
58	268
399	239
267	259
169	375
280	429
376	180
825	327
194	422
61	326
234	301
230	381
389	276
101	307
319	448
306	504
697	302
104	196
31	418
408	220
111	93
203	310
145	429
389	296
404	347
303	240
297	356
631	446
173	153
